id,blurb
1351791504,"Introducing a Black-Queer-owned co-op that amplifies the voices of marginalized communities through art and experiences in Denver, CO."
2079468401,per continuare a costruirlo
1303901775,"A cozy bookstore in historic Grapevine, Texas, featuring new and used books, theatrical and literary events, and family programming."
2018647774,An independently funded performance to showcase the outstanding talent of acting graduates from a range of top drama schools
2011643749,Siamo l'associazione culturale Fiorile e Messidoro e abbiamo in concessione uno spazio comunale: il bellissimo SALONE XXV APRILE
1189141333,"We are building out our own theatre space in Acworth, Georgia!"
449423332,"Un espectáculo de teatro de sombras para niñes y adultes sobre la muerte, el duelo y el valor de la amistad"
1033917726,"Lafayette, LA has no skatepark. Please share/donate to help build an indoor skatepark and BMX shop. Thank you so much. -Ooti Billeaud"
1407449131,Uno spazio dove gli amanti della musica e dell'arte si sentiranno a casa
1731686720,Experience the drama from a whole new perspective.
1177857890,A digital + analog sanctified space for the pursuit + development of the spiritual arts + sciences
1520250315,How a historic small-town theater might just heal deep division.
1004037666,R3tro Drive In Theater at The Woods
1176672618,Rehabilitación y construcción de 3 salas de microteatro y la conservación de un empleo seguro y estable para 10 personas
873265039,"Proyecto para mantener ""El Venero-Foro-Teatro-Galeria"" abierto frente a la contingencia."
1662678583,"Help us create a covered stage for our young community members to explore their creative side of dance, song, play and performance!"
649858187,La recuperación de un teatro en el centro de Guadalajara. Estamos reconstruyendo el Teatro Maria Teresa. Necesitamos butacas.
94191413,Theater Mitu’s Annual Fundraiser – It’s time to support our home in Gowanus!
1768539714,Jazzy Holiday Cabaret at Pianos NYC Dec. 9th 8-10PM
574939672,"Moving toward full restoration of the historic Columbia Theater, this campaign is dedicated to enforcing the integrity of her crown."
1934764395,Support FEAST: A Performance Series in better serving its community of artists and audiences in the upcoming season!
219613232,Contribuisci anche tu alla ristrutturazione della sala del teatro
1095222073,"Creating not just a venue, but an institution for creativity in Jamestown NY."
2121731732,"A celebratory one night show of theatrics for non-binary folx, from non-binary folx. With live music, poetry and drag performances."
1293318696,A community based Instagram page that freely documents and promotes the creation and success of black owned skincare and makeup lines.
157439495,"A community science journalism project to create an interactive online storymap of 
ocean relations, innovation, and ACTION in Canada"
148185988,A book that through photos and words tells the story of NYC during the COVID-19 shutdown
978809189,A story about the Newspaper Newsroom
662729490,"A book of photographic portraits and interviews with a wide array of people who live, work and play in the Yorkshire Dales."
916945731,"Bohypsian is an annual visual arts journal focusing on arts activism, community and health through stories, interviews and recipes."
866299690,"A documentary photo series & book that investigates homelessness and urbanization in Durham, North Carolina by Raul Baez"
11391525,"Documenting stories of sexual assault and harassment within public spaces from Washington, D.C. to Maine road trip."
618265474,"Presenting an article based on fieldwork as a human rights photojournalist in Colombia. Nonprofit Research, International Conference."
147701880,Giving disposable cameras to the homeless in hopes to ignite passion and purpose while providing a platform for creative expression.
2053003521,"I am seeking to return to San Salvador, El Salvador for 10 days to photograph the daily lives of children affected by birth defects."
1582427283,Glass Door is a zine that explores the experiences of women in male-dominated industries. Join us in dismantling the patriarchy!
336800501,"The Howchon5F1 tube amplifier is based on the classic Fender 5F1 ""Champ"" amp and can be built for vintage tubes or new soviet tubes."
170336282,I wish to supply for an infinit range of soles of effects pedal. J'espère pouvoir fournir une semelle pour tout les types de pédales.
287006097,High-end soundbar and best furniture design in one product. Less visible technology and no compromise on sound
1850935943,See Music Flow | Venom-Like Fluid | Room-filling sound | 360-Degree Audio | NASA's Nanoscale Magnetic Fluid
1595239120,Flippable & Foldable Design / Bluetooth Speaker/Switchable Five Colors/ DuPont™ Tyvek®/ Hand-polished Wood Material/Compact & Portable
93839179,"A new take on quality, powerful, sound made just for your phone!"
1477280047,"Attach Peal to any well-tuned windchime to announce your guests and introduce your home as someplace inviting, special, and unique."
1772647380,"Stop missing half the sonic picture--start hearing in full stereo, with just one ear!"
1030302389,"Premium guitar picks, combining the finest materials and design, with the most advanced technology to improve your playing experience."
272448733,Get into sync with your circadian rhythm and reach deeper sleep with our masterfully crafted binaural beats frequencies
1107388538,"New instrument, Hanago. The new single-fretted instrument."
480941334,"Ammo cans, Cigar & Champagne boxes reborn as bluetooth speakers"
1656798673,"When women are seen, heard and respected, change happens.  me&EVE is uniting women one story, one photo and one post at a time."
361125048,"I will spend a month exploring the west coast at night, and share my story and journey as a photographer and as man pursuing his dream."
518742147,"I'll write a picture book for all trekker, who want to try something new in Cambodia"
1412273571,"Using incredible photojournalism to capture the resilience of Montana, Wyoming, North Dakota and South Dakota."
1512723549,"An annual print publication communicating on the culture, lifestyle and aesthetics of the suburbs. Lauching end of May 2016."
1305532559,"A photo book with features on traditions and people from Sri Lanka, Vietnam, Cambodia, Laos, and Indonesia."
1206939301,"I want to go to Genoa, Italy to create a detailed floristics photo and commentary report of The Europa Cup 2016."
718643586,EV Mag elevates the joy you receive from photography by expanding your creative vision and empowering you to take more powerful photos.
1288056084,I am a female street artist with an adventurous spirt and a passion for cafe racers. On a mission to inspire solo riders-TO JUST GO!
871213419,"Historical photobook offering a first-person chronology of the events in Ferguson and beyond since August 9, 2014."
595878469,Hjälp mig att bekosta skyddsutrustning så att jag på ett säkert sätt kan visa hur det är att leva i det konfliktdrabbade Donetsk.
1531369090,"I am traveling across the country to visit various animal sanctuaries. I will volunteer,fundraise and document my findings with a blog."
1436057617,"Support us as we move our OBIE-winning Brooklyn-based performance space to a new, larger home in the same neighborhood."
1026550948,Sound System Upgrade
1318802015,"We need lights, sound, and more pots to piss in!"
1508604284,"A new, multi-venue performing arts center in Bellingham, WA, providing affordable space for performances, classes and events."
396371008,Long story short: WE'RE MOVING and we need your help to turn our new home into an actual theatre!
950539716,As our Sparkle Community grows so must our home. We are moving ExperTease Fitness to a new location AND expanding Minnsky Theatre.
1848586534,We're converting Hideout Studios into a rentable small theatre venue with all the trimmings.
1063888472,"The Tank needs you as we move to a NEW 2 VENUE SPACE, doubling our vision of being a home for Emerging Artists all across NYC"
1387974774,"Hippity Hip is an eco-friendly playspace in Rochester, NY where children and parents can come together to play and socialize."
1457417259,"In 2018, Sky Candy will move to a new studio. Help us transform it into the best aerial & circus arts space in Austin, TX!"
2072749000,"Be part of the community that will build a theater for underserved youth, individuals with special needs, and military veterans."
1202768676,The BAFTA award-winning Television Workshop has moved to a new space and we need your help to bring it to life...
920187756,"Marketing, diffusion à grande échelle des livres de ma maison d'édition et lPromotion de ma boutique par réseaux sociaux."
2089396704,Our project is to create Cabral Publishing with the aim of making easiest the process of publishing new writers' manuscripts.
1602059434,"A text-faithful prose rendering of the 1590s epic poem by Rebecca K. Reynolds, with nearly eighty new illustrations by Justin Gerard."
872758155,A Zine for Progressive Thoughts and Ideas in Orthodox Judaism
1571544417,"Help KVML bring you programs about the role of education in our lives, including a focus on Kurt’s fight against censorship."
1524663807,"A collection of essays on love, longing and self-worth"
823154462,"An independent bookstore and café for all of Columbia, located in historic Five Points"
1686372535,"Help bring an independent bookstore to Harrisonburg, VA"
1878748906,Creating an online workshop experience for writers to improve and grow their writing.
1202566069,"A pop-up bookstore in Little Rock, Arkansas dreaming of wheels"
1562169648,A gathering to celebrate and cultivate creativity in Christendom.
232598996,"Christian book that shows us why pain exists, what is its meaning and purpose and helps us to overcome it!"
458822441,"This magic see-thru glass panel projects directional stereo like ""invisible headphones"" for your ears ONLY without disturbing others!"
192713823,Redefining the sound of wireless earbuds—Audiophile-grade sound quality over Bluetooth® with Hi-Res Audio and LDAC Codec.
224080550,VS-01—Ortofon MM OM 5E Stylus Head | Upright Turntable Design | Bluetooth and Vinyl Record Player | Upgrade Your Music Experience
125854513,A novel mini-overdrive pedal and a feature-rich Stereo Isolator with built in headphone amp!
2017702036,A Smart Drum is the Fastest Way to Learn Your Favorite Pop & Rock Songs
62689231,Work perfectly with office deck
1805985562,"Fun, dynamic, & portable synth! The Pocket Piano is Back!"
1834995546,"LED lit and beautifully designed, these cables will light your way."
1007662957,"Create new sound universes inspired from the real world with Anyma Omega, a powerful hybrid polyphonic and multitimbral synthesizer"
1936020614,"Bass Drum, Snare Drum, Hi Hats (and more!) inspired by a classic analog drum machine from the 80s!"
1917511989,Turns anything into a speaker / Portable & lightweight / Colorful changing lighting effect (adjustable by APP) / Bath audio/ Bluetooth
528931619,The expressive keyboard and intuitive app to play and compose today's music efficiently.
1680823790,"An action-fantasy about 3 close friends and their martial arts journey, queer relationships, work-life and dealing with corruption."
420298178,"Color Wars is a ""coming of age"" action adventure fantasy epic about a group of people in a world devoid of color."
840401999,The story about Void being made from the dark space of the void. Void must face challenges in the other world to know who he truly is.
1540318992,"The second book in a gay romance webcomic about accidentally summoning a demon, and then not-accidentally dating him."
1813372342,"A sci fi comic with bloody action, vulgar language, and not family friendly themes to spice things up..."
300375163,"""All tides rise as one, all shores are the same shore, divided”."
386474632,A superhero action-comedy webcomic with heavy manga and punk vibes going to PRINT!
1712065961,"Reformated, redone, and finally in full color!"
1960509611,A New Fresh Comic & Animated Series Based On Superhero & Villains In A New Beautiful City.
1340153718,Secrets
1715755458,Print the beginning half of the ocean-adventure webcomic Puffer and Clarissa!
389498445,Kyandra the Saga - a Comic and Manga series.
395890536,"After 30 years with Lyme, Karen is going to Malaysia to get hyperthermia treatment as a last resort for a cure."
92688279,"The courage to share what makes us vulnerable, and the compassion and empathy to really listen, is a recipe that can change our world."
1495618339,Réaliser un reportage photo sonore à bord du bateau qui comptabilise les déchets plastiques en mer méditerranée en 2 semaines en aout.
912509714,It is finally time for me to discover why my Hogwarts letter never came.
796515162,"$25,000 to send five photojournalists to cover stories that matter."
2118634057,Radio Documentary/ Audio Slideshow about Dragana Jurisic's photographic pilgrimage based on Rebecca West's Black Lamb & Grey Falcon.
1336351332,Order Signed First Editions with Mark Landon's covers by clicking on that pledge. Double the amounts if you want more than one book.
1381620806,"With Nicaragua's Grand Canal route now defined, we want to document the its people and places before construction begins in December."
332277653,Create a photo book of bookshelves from around the world and interview their owners. Books are sexy and so can you!
19384204,I'M GOING BACK TO ROMANIA!! booyah! Blessed to be a blessing! Lets team together NZ // Romania and create footage that tells stories!
1749082114,Thank you!! It is an inspiration to have people all over the world joining me on this trip.
377223752,"I am going to Brazil to interview and document the democratic, human rights & environmental costs created by the World Cup."
1968386121,"Invest in a beautiful, modernized home for theater & dance at The Historic Y where students & artists can create, explore and thrive!"
1824888812,Goal: Upgrade the production capabilities of BABS'LAB & produce an arts-integrated bullying prevention program for our city.
1857587742,Bringing overlooked and underrepresented theatre to Utah County in a permanent blackbox space in the Provo Towne Centre.
