id,blurb,blurb_token,blurb_token_bigram
1351791504,"Introducing a Black-Queer-owned co-op that amplifies the voices of marginalized communities through art and experiences in Denver, CO.","['introducing', 'a', 'that', 'amplifies', 'the', 'voices', 'of', 'marginalized', 'communities', 'through', 'art', 'and', 'experiences', 'in', 'denver', 'co']","['introducing', 'a', 'that', 'amplifies', 'the', 'voices', 'of', 'marginalized', 'communities', 'through', 'art', 'and', 'experiences', 'in', 'denver', 'co']"
2079468401,per continuare a costruirlo,"['per', 'continuare', 'a', 'costruirlo']","['per', 'continuare', 'a', 'costruirlo']"
1303901775,"A cozy bookstore in historic Grapevine, Texas, featuring new and used books, theatrical and literary events, and family programming.","['a', 'cozy', 'bookstore', 'in', 'historic', 'grapevine', 'texas', 'featuring', 'new', 'and', 'used', 'books', 'theatrical', 'and', 'literary', 'events', 'and', 'family', 'programming']","['a', 'cozy', 'bookstore', 'in', 'historic', 'grapevine', 'texas', 'featuring', 'new', 'and', 'used', 'books', 'theatrical', 'and', 'literary', 'events', 'and', 'family', 'programming']"
2018647774,An independently funded performance to showcase the outstanding talent of acting graduates from a range of top drama schools,"['an', 'independently', 'funded', 'performance', 'to', 'showcase', 'the', 'outstanding', 'talent', 'of', 'acting', 'graduates', 'from', 'a', 'range', 'of', 'top', 'drama', 'schools']","['an', 'independently', 'funded', 'performance', 'to', 'showcase', 'the', 'outstanding', 'talent', 'of', 'acting', 'graduates', 'from', 'a', 'range', 'of', 'top', 'drama', 'schools']"
2011643749,Siamo l'associazione culturale Fiorile e Messidoro e abbiamo in concessione uno spazio comunale: il bellissimo SALONE XXV APRILE,"['siamo', 'culturale', 'fiorile', 'e', 'messidoro', 'e', 'abbiamo', 'in', 'concessione', 'uno', 'spazio', 'comunale', 'il', 'bellissimo', 'salone', 'xxv', 'aprile']","['siamo', 'culturale', 'fiorile', 'e', 'messidoro', 'e', 'abbiamo', 'in', 'concessione', 'uno', 'spazio', 'comunale', 'il', 'bellissimo', 'salone', 'xxv', 'aprile']"
1189141333,"We are building out our own theatre space in Acworth, Georgia!","['we', 'are', 'building', 'out', 'our', 'own', 'theatre', 'space', 'in', 'acworth', 'georgia']","['we_are', 'building', 'out', 'our', 'own', 'theatre', 'space', 'in', 'acworth', 'georgia']"
449423332,"Un espectáculo de teatro de sombras para niñes y adultes sobre la muerte, el duelo y el valor de la amistad","['un', 'espectáculo', 'de', 'teatro', 'de', 'sombras', 'para', 'niñes', 'y', 'adultes', 'sobre', 'la', 'muerte', 'el', 'duelo', 'y', 'el', 'valor', 'de', 'la', 'amistad']","['un', 'espectáculo', 'de', 'teatro', 'de', 'sombras', 'para', 'niñes', 'y', 'adultes', 'sobre', 'la', 'muerte', 'el', 'duelo', 'y', 'el', 'valor', 'de_la', 'amistad']"
1033917726,"Lafayette, LA has no skatepark. Please share/donate to help build an indoor skatepark and BMX shop. Thank you so much. -Ooti Billeaud","['lafayette', 'la', 'has', 'no', 'skatepark', 'please', 'to', 'help', 'build', 'an', 'indoor', 'skatepark', 'and', 'bmx', 'shop', 'thank', 'you', 'so', 'much', 'billeaud']","['lafayette', 'la', 'has', 'no', 'skatepark', 'please', 'to', 'help', 'build', 'an', 'indoor', 'skatepark', 'and', 'bmx', 'shop', 'thank_you', 'so_much', 'billeaud']"
1407449131,Uno spazio dove gli amanti della musica e dell'arte si sentiranno a casa,"['uno', 'spazio', 'dove', 'gli', 'amanti', 'della', 'musica', 'e', 'si', 'sentiranno', 'a', 'casa']","['uno', 'spazio', 'dove', 'gli', 'amanti', 'della', 'musica', 'e', 'si', 'sentiranno', 'a', 'casa']"
1731686720,Experience the drama from a whole new perspective.,"['experience', 'the', 'drama', 'from', 'a', 'whole', 'new', 'perspective']","['experience', 'the', 'drama', 'from', 'a', 'whole_new', 'perspective']"
1177857890,A digital + analog sanctified space for the pursuit + development of the spiritual arts + sciences,"['a', 'digital', 'analog', 'sanctified', 'space', 'for', 'the', 'pursuit', 'development', 'of', 'the', 'spiritual', 'arts', 'sciences']","['a', 'digital', 'analog', 'sanctified', 'space', 'for', 'the', 'pursuit', 'development', 'of', 'the', 'spiritual', 'arts', 'sciences']"
1520250315,How a historic small-town theater might just heal deep division.,"['how', 'a', 'historic', 'theater', 'might', 'just', 'heal', 'deep', 'division']","['how', 'a', 'historic', 'theater', 'might', 'just', 'heal', 'deep', 'division']"
1004037666,R3tro Drive In Theater at The Woods,"['drive', 'in', 'theater', 'at', 'the', 'woods']","['drive', 'in', 'theater', 'at', 'the', 'woods']"
1176672618,Rehabilitación y construcción de 3 salas de microteatro y la conservación de un empleo seguro y estable para 10 personas,"['rehabilitación', 'y', 'construcción', 'de', 'salas', 'de', 'microteatro', 'y', 'la', 'conservación', 'de', 'un', 'empleo', 'seguro', 'y', 'estable', 'para', 'personas']","['rehabilitación', 'y', 'construcción', 'de', 'salas', 'de', 'microteatro', 'y', 'la', 'conservación', 'de_un', 'empleo', 'seguro', 'y', 'estable', 'para', 'personas']"
873265039,"Proyecto para mantener ""El Venero-Foro-Teatro-Galeria"" abierto frente a la contingencia.","['proyecto', 'para', 'mantener', 'el', 'abierto', 'frente', 'a', 'la', 'contingencia']","['proyecto', 'para', 'mantener', 'el', 'abierto', 'frente', 'a', 'la', 'contingencia']"
1662678583,"Help us create a covered stage for our young community members to explore their creative side of dance, song, play and performance!","['help', 'us', 'create', 'a', 'covered', 'stage', 'for', 'our', 'young', 'community', 'members', 'to', 'explore', 'their', 'creative', 'side', 'of', 'dance', 'song', 'play', 'and', 'performance']","['help_us', 'create', 'a', 'covered', 'stage', 'for', 'our', 'young', 'community', 'members', 'to', 'explore', 'their', 'creative', 'side', 'of', 'dance', 'song', 'play', 'and', 'performance']"
649858187,La recuperación de un teatro en el centro de Guadalajara. Estamos reconstruyendo el Teatro Maria Teresa. Necesitamos butacas.,"['la', 'recuperación', 'de', 'un', 'teatro', 'en', 'el', 'centro', 'de', 'guadalajara', 'estamos', 'reconstruyendo', 'el', 'teatro', 'maria', 'teresa', 'necesitamos', 'butacas']","['la', 'recuperación', 'de_un', 'teatro', 'en', 'el', 'centro', 'de', 'guadalajara', 'estamos', 'reconstruyendo', 'el', 'teatro', 'maria', 'teresa', 'necesitamos', 'butacas']"
94191413,Theater Mitu’s Annual Fundraiser – It’s time to support our home in Gowanus!,"['theater', 'mitu', 's', 'annual', 'fundraiser', 'it', 's', 'time', 'to', 'support', 'our', 'home', 'in', 'gowanus']","['theater', 'mitu', 's', 'annual', 'fundraiser', 'it', 's', 'time', 'to', 'support', 'our', 'home', 'in', 'gowanus']"
1768539714,Jazzy Holiday Cabaret at Pianos NYC Dec. 9th 8-10PM,"['jazzy', 'holiday', 'cabaret', 'at', 'pianos', 'nyc']","['jazzy', 'holiday', 'cabaret', 'at', 'pianos', 'nyc']"
574939672,"Moving toward full restoration of the historic Columbia Theater, this campaign is dedicated to enforcing the integrity of her crown.","['moving', 'toward', 'full', 'restoration', 'of', 'the', 'historic', 'columbia', 'theater', 'this', 'campaign', 'is', 'dedicated', 'to', 'enforcing', 'the', 'integrity', 'of', 'her', 'crown']","['moving', 'toward', 'full', 'restoration', 'of', 'the', 'historic', 'columbia', 'theater', 'this_campaign', 'is', 'dedicated', 'to', 'enforcing', 'the', 'integrity', 'of', 'her', 'crown']"
1934764395,Support FEAST: A Performance Series in better serving its community of artists and audiences in the upcoming season!,"['support', 'feast', 'a', 'performance', 'series', 'in', 'better', 'serving', 'its', 'community', 'of', 'artists', 'and', 'audiences', 'in', 'the', 'upcoming', 'season']","['support', 'feast', 'a', 'performance', 'series', 'in', 'better', 'serving', 'its', 'community', 'of', 'artists', 'and', 'audiences', 'in', 'the', 'upcoming', 'season']"
219613232,Contribuisci anche tu alla ristrutturazione della sala del teatro,"['contribuisci', 'anche', 'tu', 'alla', 'ristrutturazione', 'della', 'sala', 'del', 'teatro']","['contribuisci', 'anche', 'tu', 'alla', 'ristrutturazione', 'della', 'sala', 'del', 'teatro']"
1095222073,"Creating not just a venue, but an institution for creativity in Jamestown NY.","['creating', 'not', 'just', 'a', 'venue', 'but', 'an', 'institution', 'for', 'creativity', 'in', 'jamestown', 'ny']","['creating', 'not', 'just', 'a', 'venue', 'but', 'an', 'institution', 'for', 'creativity', 'in', 'jamestown', 'ny']"
2121731732,"A celebratory one night show of theatrics for non-binary folx, from non-binary folx. With live music, poetry and drag performances.","['a', 'celebratory', 'one', 'night', 'show', 'of', 'theatrics', 'for', 'folx', 'from', 'folx', 'with', 'live', 'music', 'poetry', 'and', 'drag', 'performances']","['a', 'celebratory', 'one', 'night', 'show', 'of', 'theatrics', 'for', 'folx', 'from', 'folx', 'with', 'live', 'music', 'poetry', 'and', 'drag', 'performances']"
1293318696,A community based Instagram page that freely documents and promotes the creation and success of black owned skincare and makeup lines.,"['a', 'community', 'based', 'instagram', 'page', 'that', 'freely', 'documents', 'and', 'promotes', 'the', 'creation', 'and', 'success', 'of', 'black', 'owned', 'skincare', 'and', 'makeup', 'lines']","['a', 'community', 'based', 'instagram', 'page', 'that', 'freely', 'documents', 'and', 'promotes', 'the', 'creation', 'and', 'success', 'of', 'black', 'owned', 'skincare', 'and', 'makeup', 'lines']"
157439495,"A community science journalism project to create an interactive online storymap of 
ocean relations, innovation, and ACTION in Canada","['a', 'community', 'science', 'journalism', 'project', 'to', 'create', 'an', 'interactive', 'online', 'storymap', 'of', 'ocean', 'relations', 'innovation', 'and', 'action', 'in', 'canada']","['a', 'community', 'science', 'journalism', 'project', 'to', 'create', 'an', 'interactive', 'online', 'storymap', 'of', 'ocean', 'relations', 'innovation', 'and', 'action', 'in', 'canada']"
148185988,A book that through photos and words tells the story of NYC during the COVID-19 shutdown,"['a', 'book', 'that', 'through', 'photos', 'and', 'words', 'tells', 'the', 'story', 'of', 'nyc', 'during', 'the', 'shutdown']","['a', 'book', 'that', 'through', 'photos', 'and', 'words', 'tells', 'the', 'story', 'of', 'nyc', 'during', 'the', 'shutdown']"
978809189,A story about the Newspaper Newsroom,"['a', 'story', 'about', 'the', 'newspaper', 'newsroom']","['a', 'story_about', 'the', 'newspaper', 'newsroom']"
662729490,"A book of photographic portraits and interviews with a wide array of people who live, work and play in the Yorkshire Dales.","['a', 'book', 'of', 'photographic', 'portraits', 'and', 'interviews', 'with', 'a', 'wide', 'array', 'of', 'people', 'who', 'live', 'work', 'and', 'play', 'in', 'the', 'yorkshire', 'dales']","['a', 'book', 'of', 'photographic', 'portraits', 'and', 'interviews', 'with', 'a', 'wide', 'array', 'of', 'people_who', 'live', 'work', 'and', 'play', 'in', 'the', 'yorkshire', 'dales']"
916945731,"Bohypsian is an annual visual arts journal focusing on arts activism, community and health through stories, interviews and recipes.","['bohypsian', 'is', 'an', 'annual', 'visual', 'arts', 'journal', 'focusing', 'on', 'arts', 'activism', 'community', 'and', 'health', 'through', 'stories', 'interviews', 'and', 'recipes']","['bohypsian', 'is', 'an', 'annual', 'visual', 'arts', 'journal', 'focusing', 'on', 'arts', 'activism', 'community', 'and', 'health', 'through', 'stories', 'interviews', 'and', 'recipes']"
866299690,"A documentary photo series & book that investigates homelessness and urbanization in Durham, North Carolina by Raul Baez","['a', 'documentary', 'photo', 'series', 'book', 'that', 'investigates', 'homelessness', 'and', 'urbanization', 'in', 'durham', 'north', 'carolina', 'by', 'raul', 'baez']","['a', 'documentary', 'photo', 'series', 'book', 'that', 'investigates', 'homelessness', 'and', 'urbanization', 'in', 'durham', 'north', 'carolina', 'by', 'raul', 'baez']"
11391525,"Documenting stories of sexual assault and harassment within public spaces from Washington, D.C. to Maine road trip.","['documenting', 'stories', 'of', 'sexual', 'assault', 'and', 'harassment', 'within', 'public', 'spaces', 'from', 'washington', 'to', 'maine', 'road', 'trip']","['documenting', 'stories', 'of', 'sexual', 'assault', 'and', 'harassment', 'within', 'public', 'spaces', 'from', 'washington', 'to', 'maine', 'road_trip']"
618265474,"Presenting an article based on fieldwork as a human rights photojournalist in Colombia. Nonprofit Research, International Conference.","['presenting', 'an', 'article', 'based', 'on', 'fieldwork', 'as', 'a', 'human', 'rights', 'photojournalist', 'in', 'colombia', 'nonprofit', 'research', 'international', 'conference']","['presenting', 'an', 'article', 'based', 'on', 'fieldwork', 'as', 'a', 'human', 'rights', 'photojournalist', 'in', 'colombia', 'nonprofit', 'research', 'international', 'conference']"
147701880,Giving disposable cameras to the homeless in hopes to ignite passion and purpose while providing a platform for creative expression.,"['giving', 'disposable', 'cameras', 'to', 'the', 'homeless', 'in', 'hopes', 'to', 'ignite', 'passion', 'and', 'purpose', 'while', 'providing', 'a', 'platform', 'for', 'creative', 'expression']","['giving', 'disposable', 'cameras', 'to', 'the', 'homeless', 'in', 'hopes', 'to', 'ignite', 'passion', 'and', 'purpose', 'while', 'providing', 'a', 'platform', 'for', 'creative', 'expression']"
2053003521,"I am seeking to return to San Salvador, El Salvador for 10 days to photograph the daily lives of children affected by birth defects.","['i', 'am', 'seeking', 'to', 'return', 'to', 'san', 'salvador', 'el', 'salvador', 'for', 'days', 'to', 'photograph', 'the', 'daily', 'lives', 'of', 'children', 'affected', 'by', 'birth', 'defects']","['i_am', 'seeking', 'to', 'return', 'to', 'san', 'salvador', 'el', 'salvador', 'for', 'days', 'to', 'photograph', 'the', 'daily', 'lives', 'of', 'children', 'affected', 'by', 'birth', 'defects']"
1582427283,Glass Door is a zine that explores the experiences of women in male-dominated industries. Join us in dismantling the patriarchy!,"['glass', 'door', 'is', 'a', 'zine', 'that', 'explores', 'the', 'experiences', 'of', 'women', 'in', 'industries', 'join', 'us', 'in', 'dismantling', 'the', 'patriarchy']","['glass', 'door', 'is', 'a', 'zine', 'that', 'explores', 'the', 'experiences', 'of', 'women', 'in', 'industries', 'join_us', 'in', 'dismantling', 'the', 'patriarchy']"
336800501,"The Howchon5F1 tube amplifier is based on the classic Fender 5F1 ""Champ"" amp and can be built for vintage tubes or new soviet tubes.","['the', 'tube', 'amplifier', 'is', 'based', 'on', 'the', 'classic', 'fender', 'champ', 'amp', 'and', 'can', 'be', 'built', 'for', 'vintage', 'tubes', 'or', 'new', 'soviet', 'tubes']","['the', 'tube', 'amplifier', 'is', 'based', 'on', 'the', 'classic', 'fender', 'champ', 'amp', 'and', 'can_be', 'built', 'for', 'vintage', 'tubes', 'or', 'new', 'soviet', 'tubes']"
170336282,I wish to supply for an infinit range of soles of effects pedal. J'espère pouvoir fournir une semelle pour tout les types de pédales.,"['i', 'wish', 'to', 'supply', 'for', 'an', 'infinit', 'range', 'of', 'soles', 'of', 'effects', 'pedal', 'pouvoir', 'fournir', 'une', 'semelle', 'pour', 'tout', 'les', 'types', 'de', 'pédales']","['i', 'wish', 'to', 'supply', 'for', 'an', 'infinit', 'range', 'of', 'soles', 'of', 'effects', 'pedal', 'pouvoir', 'fournir', 'une', 'semelle', 'pour', 'tout', 'les', 'types', 'de', 'pédales']"
287006097,High-end soundbar and best furniture design in one product. Less visible technology and no compromise on sound,"['soundbar', 'and', 'best', 'furniture', 'design', 'in', 'one', 'product', 'less', 'visible', 'technology', 'and', 'no', 'compromise', 'on', 'sound']","['soundbar', 'and', 'best', 'furniture', 'design', 'in', 'one', 'product', 'less', 'visible', 'technology', 'and', 'no', 'compromise', 'on', 'sound']"
1850935943,See Music Flow | Venom-Like Fluid | Room-filling sound | 360-Degree Audio | NASA's Nanoscale Magnetic Fluid,"['see', 'music', 'flow', 'fluid', 'sound', 'audio', 'nasa', 'nanoscale', 'magnetic', 'fluid']","['see', 'music', 'flow', 'fluid', 'sound', 'audio', 'nasa', 'nanoscale', 'magnetic', 'fluid']"
1595239120,Flippable & Foldable Design / Bluetooth Speaker/Switchable Five Colors/ DuPont™ Tyvek®/ Hand-polished Wood Material/Compact & Portable,"['flippable', 'foldable', 'design', 'bluetooth', 'five', 'wood', 'portable']","['flippable', 'foldable', 'design', 'bluetooth', 'five', 'wood', 'portable']"
93839179,"A new take on quality, powerful, sound made just for your phone!","['a', 'new', 'take', 'on', 'quality', 'powerful', 'sound', 'made', 'just', 'for', 'your', 'phone']","['a', 'new', 'take', 'on', 'quality', 'powerful', 'sound', 'made', 'just', 'for', 'your', 'phone']"
1477280047,"Attach Peal to any well-tuned windchime to announce your guests and introduce your home as someplace inviting, special, and unique.","['attach', 'peal', 'to', 'any', 'windchime', 'to', 'announce', 'your', 'guests', 'and', 'introduce', 'your', 'home', 'as', 'someplace', 'inviting', 'special', 'and', 'unique']","['attach', 'peal', 'to', 'any', 'windchime', 'to', 'announce', 'your', 'guests', 'and', 'introduce', 'your', 'home', 'as', 'someplace', 'inviting', 'special', 'and', 'unique']"
1772647380,"Stop missing half the sonic picture--start hearing in full stereo, with just one ear!","['stop', 'missing', 'half', 'the', 'sonic', 'picture', 'start', 'hearing', 'in', 'full', 'stereo', 'with', 'just', 'one', 'ear']","['stop', 'missing', 'half', 'the', 'sonic', 'picture', 'start', 'hearing', 'in', 'full', 'stereo', 'with', 'just', 'one', 'ear']"
1030302389,"Premium guitar picks, combining the finest materials and design, with the most advanced technology to improve your playing experience.","['premium', 'guitar', 'picks', 'combining', 'the', 'finest', 'materials', 'and', 'design', 'with', 'the', 'most', 'advanced', 'technology', 'to', 'improve', 'your', 'playing', 'experience']","['premium', 'guitar', 'picks', 'combining', 'the', 'finest', 'materials', 'and', 'design', 'with', 'the', 'most', 'advanced', 'technology', 'to', 'improve', 'your', 'playing', 'experience']"
272448733,Get into sync with your circadian rhythm and reach deeper sleep with our masterfully crafted binaural beats frequencies,"['get', 'into', 'sync', 'with', 'your', 'circadian', 'rhythm', 'and', 'reach', 'deeper', 'sleep', 'with', 'our', 'masterfully', 'crafted', 'binaural', 'beats', 'frequencies']","['get', 'into', 'sync', 'with', 'your', 'circadian', 'rhythm', 'and', 'reach', 'deeper', 'sleep', 'with', 'our', 'masterfully', 'crafted', 'binaural', 'beats', 'frequencies']"
1107388538,"New instrument, Hanago. The new single-fretted instrument.","['new', 'instrument', 'hanago', 'the', 'new', 'instrument']","['new', 'instrument', 'hanago', 'the', 'new', 'instrument']"
480941334,"Ammo cans, Cigar & Champagne boxes reborn as bluetooth speakers","['ammo', 'cans', 'cigar', 'champagne', 'boxes', 'reborn', 'as', 'bluetooth', 'speakers']","['ammo', 'cans', 'cigar', 'champagne', 'boxes', 'reborn', 'as', 'bluetooth', 'speakers']"
1656798673,"When women are seen, heard and respected, change happens.  me&EVE is uniting women one story, one photo and one post at a time.","['when', 'women', 'are', 'seen', 'heard', 'and', 'respected', 'change', 'happens', 'me', 'eve', 'is', 'uniting', 'women', 'one', 'story', 'one', 'photo', 'and', 'one', 'post', 'at', 'a', 'time']","['when', 'women', 'are', 'seen', 'heard', 'and', 'respected', 'change', 'happens', 'me', 'eve', 'is', 'uniting', 'women', 'one', 'story', 'one', 'photo', 'and', 'one', 'post', 'at', 'a', 'time']"
361125048,"I will spend a month exploring the west coast at night, and share my story and journey as a photographer and as man pursuing his dream.","['i', 'will', 'spend', 'a', 'month', 'exploring', 'the', 'west', 'coast', 'at', 'night', 'and', 'share', 'my', 'story', 'and', 'journey', 'as', 'a', 'photographer', 'and', 'as', 'man', 'pursuing', 'his', 'dream']","['i_will', 'spend', 'a', 'month', 'exploring', 'the', 'west', 'coast', 'at', 'night', 'and', 'share', 'my', 'story', 'and', 'journey', 'as', 'a', 'photographer', 'and', 'as', 'man', 'pursuing', 'his', 'dream']"
518742147,"I'll write a picture book for all trekker, who want to try something new in Cambodia","['i', 'write', 'a', 'picture', 'book', 'for', 'all', 'trekker', 'who', 'want', 'to', 'try', 'something', 'new', 'in', 'cambodia']","['i', 'write', 'a', 'picture', 'book', 'for', 'all', 'trekker', 'who', 'want', 'to', 'try', 'something', 'new', 'in', 'cambodia']"
1412273571,"Using incredible photojournalism to capture the resilience of Montana, Wyoming, North Dakota and South Dakota.","['using', 'incredible', 'photojournalism', 'to', 'capture', 'the', 'resilience', 'of', 'montana', 'wyoming', 'north', 'dakota', 'and', 'south', 'dakota']","['using', 'incredible', 'photojournalism', 'to', 'capture', 'the', 'resilience', 'of', 'montana', 'wyoming', 'north', 'dakota', 'and', 'south', 'dakota']"
1512723549,"An annual print publication communicating on the culture, lifestyle and aesthetics of the suburbs. Lauching end of May 2016.","['an', 'annual', 'print', 'publication', 'communicating', 'on', 'the', 'culture', 'lifestyle', 'and', 'aesthetics', 'of', 'the', 'suburbs', 'lauching', 'end', 'of', 'may']","['an', 'annual', 'print', 'publication', 'communicating', 'on', 'the', 'culture', 'lifestyle', 'and', 'aesthetics', 'of', 'the', 'suburbs', 'lauching', 'end', 'of', 'may']"
1305532559,"A photo book with features on traditions and people from Sri Lanka, Vietnam, Cambodia, Laos, and Indonesia.","['a', 'photo', 'book', 'with', 'features', 'on', 'traditions', 'and', 'people', 'from', 'sri', 'lanka', 'vietnam', 'cambodia', 'laos', 'and', 'indonesia']","['a', 'photo', 'book', 'with', 'features', 'on', 'traditions', 'and', 'people', 'from', 'sri', 'lanka', 'vietnam', 'cambodia', 'laos', 'and', 'indonesia']"
1206939301,"I want to go to Genoa, Italy to create a detailed floristics photo and commentary report of The Europa Cup 2016.","['i', 'want', 'to', 'go', 'to', 'genoa', 'italy', 'to', 'create', 'a', 'detailed', 'floristics', 'photo', 'and', 'commentary', 'report', 'of', 'the', 'europa', 'cup']","['i_want', 'to', 'go', 'to', 'genoa', 'italy', 'to', 'create', 'a', 'detailed', 'floristics', 'photo', 'and', 'commentary', 'report', 'of', 'the', 'europa', 'cup']"
718643586,EV Mag elevates the joy you receive from photography by expanding your creative vision and empowering you to take more powerful photos.,"['ev', 'mag', 'elevates', 'the', 'joy', 'you', 'receive', 'from', 'photography', 'by', 'expanding', 'your', 'creative', 'vision', 'and', 'empowering', 'you', 'to', 'take', 'more', 'powerful', 'photos']","['ev', 'mag', 'elevates', 'the', 'joy', 'you', 'receive', 'from', 'photography', 'by', 'expanding', 'your', 'creative', 'vision', 'and', 'empowering', 'you', 'to', 'take', 'more', 'powerful', 'photos']"
1288056084,I am a female street artist with an adventurous spirt and a passion for cafe racers. On a mission to inspire solo riders-TO JUST GO!,"['i', 'am', 'a', 'female', 'street', 'artist', 'with', 'an', 'adventurous', 'spirt', 'and', 'a', 'passion', 'for', 'cafe', 'racers', 'on', 'a', 'mission', 'to', 'inspire', 'solo', 'just', 'go']","['i_am', 'a', 'female', 'street', 'artist', 'with', 'an', 'adventurous', 'spirt', 'and', 'a', 'passion', 'for', 'cafe', 'racers', 'on', 'a', 'mission', 'to', 'inspire', 'solo', 'just', 'go']"
871213419,"Historical photobook offering a first-person chronology of the events in Ferguson and beyond since August 9, 2014.","['historical', 'photobook', 'offering', 'a', 'chronology', 'of', 'the', 'events', 'in', 'ferguson', 'and', 'beyond', 'since', 'august']","['historical', 'photobook', 'offering', 'a', 'chronology', 'of', 'the', 'events', 'in', 'ferguson', 'and', 'beyond', 'since', 'august']"
595878469,Hjälp mig att bekosta skyddsutrustning så att jag på ett säkert sätt kan visa hur det är att leva i det konfliktdrabbade Donetsk.,"['hjälp', 'mig', 'att', 'bekosta', 'skyddsutrustning', 'så', 'att', 'jag', 'på', 'ett', 'säkert', 'sätt', 'kan', 'visa', 'hur', 'det', 'är', 'att', 'leva', 'i', 'det', 'konfliktdrabbade', 'donetsk']","['hjälp', 'mig', 'att', 'bekosta', 'skyddsutrustning', 'så', 'att', 'jag', 'på', 'ett', 'säkert', 'sätt', 'kan', 'visa', 'hur', 'det', 'är', 'att', 'leva', 'i', 'det', 'konfliktdrabbade', 'donetsk']"
1531369090,"I am traveling across the country to visit various animal sanctuaries. I will volunteer,fundraise and document my findings with a blog.","['i', 'am', 'traveling', 'across', 'the', 'country', 'to', 'visit', 'various', 'animal', 'sanctuaries', 'i', 'will', 'volunteer', 'fundraise', 'and', 'document', 'my', 'findings', 'with', 'a', 'blog']","['i_am', 'traveling', 'across', 'the', 'country', 'to', 'visit', 'various', 'animal', 'sanctuaries', 'i_will', 'volunteer', 'fundraise', 'and', 'document', 'my', 'findings', 'with', 'a', 'blog']"
1436057617,"Support us as we move our OBIE-winning Brooklyn-based performance space to a new, larger home in the same neighborhood.","['support', 'us', 'as', 'we', 'move', 'our', 'performance', 'space', 'to', 'a', 'new', 'larger', 'home', 'in', 'the', 'same', 'neighborhood']","['support', 'us', 'as', 'we', 'move', 'our', 'performance', 'space', 'to', 'a', 'new', 'larger', 'home', 'in', 'the', 'same', 'neighborhood']"
1026550948,Sound System Upgrade,"['sound', 'system', 'upgrade']","['sound', 'system', 'upgrade']"
1318802015,"We need lights, sound, and more pots to piss in!","['we', 'need', 'lights', 'sound', 'and', 'more', 'pots', 'to', 'piss', 'in']","['we_need', 'lights', 'sound', 'and', 'more', 'pots', 'to', 'piss', 'in']"
1508604284,"A new, multi-venue performing arts center in Bellingham, WA, providing affordable space for performances, classes and events.","['a', 'new', 'performing', 'arts', 'center', 'in', 'bellingham', 'wa', 'providing', 'affordable', 'space', 'for', 'performances', 'classes', 'and', 'events']","['a', 'new', 'performing_arts', 'center', 'in', 'bellingham', 'wa', 'providing', 'affordable', 'space', 'for', 'performances', 'classes', 'and', 'events']"
396371008,Long story short: WE'RE MOVING and we need your help to turn our new home into an actual theatre!,"['long', 'story', 'short', 'we', 'moving', 'and', 'we', 'need', 'your', 'help', 'to', 'turn', 'our', 'new', 'home', 'into', 'an', 'actual', 'theatre']","['long', 'story', 'short', 'we', 'moving', 'and', 'we_need', 'your_help', 'to', 'turn', 'our', 'new', 'home', 'into', 'an', 'actual', 'theatre']"
950539716,As our Sparkle Community grows so must our home. We are moving ExperTease Fitness to a new location AND expanding Minnsky Theatre.,"['as', 'our', 'sparkle', 'community', 'grows', 'so', 'must', 'our', 'home', 'we', 'are', 'moving', 'expertease', 'fitness', 'to', 'a', 'new', 'location', 'and', 'expanding', 'minnsky', 'theatre']","['as', 'our', 'sparkle', 'community', 'grows', 'so', 'must', 'our', 'home', 'we_are', 'moving', 'expertease', 'fitness', 'to', 'a', 'new', 'location', 'and', 'expanding', 'minnsky', 'theatre']"
1848586534,We're converting Hideout Studios into a rentable small theatre venue with all the trimmings.,"['we', 'converting', 'hideout', 'studios', 'into', 'a', 'rentable', 'small', 'theatre', 'venue', 'with', 'all', 'the', 'trimmings']","['we', 'converting', 'hideout', 'studios', 'into', 'a', 'rentable', 'small', 'theatre', 'venue', 'with', 'all', 'the', 'trimmings']"
1063888472,"The Tank needs you as we move to a NEW 2 VENUE SPACE, doubling our vision of being a home for Emerging Artists all across NYC","['the', 'tank', 'needs', 'you', 'as', 'we', 'move', 'to', 'a', 'new', 'venue', 'space', 'doubling', 'our', 'vision', 'of', 'being', 'a', 'home', 'for', 'emerging', 'artists', 'all', 'across', 'nyc']","['the', 'tank', 'needs', 'you', 'as', 'we', 'move', 'to', 'a', 'new', 'venue', 'space', 'doubling', 'our', 'vision', 'of', 'being', 'a', 'home', 'for', 'emerging', 'artists', 'all', 'across', 'nyc']"
1387974774,"Hippity Hip is an eco-friendly playspace in Rochester, NY where children and parents can come together to play and socialize.","['hippity', 'hip', 'is', 'an', 'playspace', 'in', 'rochester', 'ny', 'where', 'children', 'and', 'parents', 'can', 'come', 'together', 'to', 'play', 'and', 'socialize']","['hippity', 'hip', 'is', 'an', 'playspace', 'in', 'rochester', 'ny', 'where', 'children', 'and', 'parents', 'can', 'come', 'together', 'to', 'play', 'and', 'socialize']"
